Question ID,Answers
9561771036,9561772012
9561771037,9561772017
9561771038,9561772020
9561771039,9561772023
9561771040,9561772028
9561771041,9561772031
9561771042,9561772037
9561771043,9561772040
9561771044,9561772044
9561771045,9561772048
9561771046,9561772051
9561771047,9561772056
9561771048,9561772059
9561771049,9561772066
9561771050,9561772068
9561771051,9561772074
9561771052,9561772078
9561771053,9561772080
9561771054,9561772084
9561771055,9561772087
9561771056,46
9561771057,36
9561771058,678
9561771059,169
9561771060,6699
9561771061,18
9561771062,8
9561771063,14
9561771064,72
9561771065,21
9561771066,9561772104
9561771067,9561772106
9561771068,9561772112
9561771069,9561772114
9561771070,9561772117
9561771071,9561772124
9561771072,9561772125
9561771073,9561772131
9561771074,9561772134
9561771075,9561772138
9561771076,9561772143
9561771077,9561772145
9561771078,9561772152
9561771079,9561772153
9561771080,9561772158
9561771081,9561772163
9561771082,9561772167
9561771083,9561772170
9561771084,9561772174
9561771085,9561772177
9561771086,52
9561771087,3
9561771088,9600
9561771089,6
9561771090,3
9561771091,22
9561771092,72
9561771093,216
9561771094,15
9561771095,27
9561771096,9561772191
9561771097,9561772195
9561771098,9561772201
9561771099,9561772203
9561771100,9561772208
9561771101,9561772213
9561771102,9561772217
9561771103,9561772219
9561771104,9561772223
9561771105,9561772230
9561771106,9561772233
9561771107,9561772237
9561771108,9561772240
9561771109,9561772245
9561771110,9561772249
9561771111,9561772252
9561771112,9561772255
9561771113,9561772261
9561771114,9561772263
9561771115,9561772267
9561771116,24
9561771117,3
9561771118,7
9561771119,6
9561771120,1
9561771121,17328
9561771122,3
9561771123,2
9561771124,2
9561771125,5
